# SignalP-5.0	Organism: euk	Timestamp: 20260407200058
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A0A5P8YKH6	OTHER	0.002341	0.997659	
A0A5P8YKH8	OTHER	0.000611	0.999389	
A0A5P8YKI2	OTHER	0.002531	0.997469	
A0A5P8YKK9	OTHER	0.002071	0.997929	
A0A5P8YKL2	SP(Sec/SPI)	0.598869	0.401131	CS pos: 41-42. AQA-VD. Pr: 0.4373
A0A5P8YKL3	OTHER	0.002551	0.997449	
A0A5P8YKL4	OTHER	0.000609	0.999391	
A0A5P8YKN2	OTHER	0.000893	0.999107	
A0A5P8YKP0	OTHER	0.263637	0.736363	
A0A5P8YKQ1	OTHER	0.001056	0.998944	
A0A5P8YKT8	OTHER	0.057681	0.942319	
A0A5P8YKW3	OTHER	0.001804	0.998196	
A0A5P8YKW5	SP(Sec/SPI)	0.972542	0.027458	CS pos: 22-23. AIA-AK. Pr: 0.3983
A0A5P8YKW6	OTHER	0.000545	0.999455	
A0A5P8YKX2	SP(Sec/SPI)	0.978451	0.021549	CS pos: 22-23. ATA-AS. Pr: 0.6626
A0A5P8YL23	OTHER	0.002276	0.997724	
A0A5P8YL62	OTHER	0.006738	0.993262	
A0A5P8YL67	OTHER	0.001578	0.998422	
A0A5P8YL72	OTHER	0.219525	0.780475	
A0A5P8YL83	OTHER	0.000834	0.999166	
A0A5P8YL91	OTHER	0.099190	0.900810	
A0A5P8YL93	OTHER	0.001753	0.998247	
A0A5P8YLA4	SP(Sec/SPI)	0.998370	0.001630	CS pos: 19-20. VQA-AD. Pr: 0.9335
A0A5P8YLB3	OTHER	0.013072	0.986928	
A0A5P8YLB5	OTHER	0.000834	0.999166	
A0A5P8YLF7	OTHER	0.102145	0.897855	
A0A5P8YLF8	OTHER	0.000913	0.999087	
A0A5P8YLG6	OTHER	0.002931	0.997069	
A0A5P8YLG7	SP(Sec/SPI)	0.990610	0.009390	CS pos: 18-19. SGC-AN. Pr: 0.3256
A0A5P8YLJ2	SP(Sec/SPI)	0.999154	0.000846	CS pos: 19-20. AMA-KD. Pr: 0.9832
A0A5P8YLJ3	OTHER	0.028332	0.971668	
A0A5P8YLK3	SP(Sec/SPI)	0.886661	0.113339	CS pos: 19-20. IHS-YP. Pr: 0.8345
A0A5P8YLK6	OTHER	0.001137	0.998863	
A0A5P8YLL5	OTHER	0.097585	0.902415	
A0A5P8YLL8	OTHER	0.000181	0.999819	
A0A5P8YLQ8	OTHER	0.001250	0.998750	
A0A5P8YLS5	OTHER	0.000469	0.999531	
A0A5P8YLW3	OTHER	0.000959	0.999041	
A0A5P8YLX5	OTHER	0.001194	0.998806	
A0A5P8YM01	SP(Sec/SPI)	0.997448	0.002552	CS pos: 21-22. LHA-AD. Pr: 0.8885
A0A5P8YM06	OTHER	0.002475	0.997525	
A0A5P8YM29	OTHER	0.001803	0.998197	
A0A5P8YM38	OTHER	0.487957	0.512043	
A0A5P8YM46	OTHER	0.334398	0.665602	
A0A5P8YM93	OTHER	0.002237	0.997763	
A0A5P8YM96	OTHER	0.000966	0.999034	
A0A5P8YMA6	OTHER	0.011443	0.988557	
A0A5P8YMB1	OTHER	0.003255	0.996745	
A0A5P8YMD4	OTHER	0.422624	0.577376	
A0A5P8YMJ0	SP(Sec/SPI)	0.706059	0.293941	CS pos: 26-27. LDA-TI. Pr: 0.4265
A0A5P8YMJ2	OTHER	0.002774	0.997226	
A0A5P8YMK4	OTHER	0.000683	0.999317	
A0A5P8YMM0	SP(Sec/SPI)	0.977547	0.022453	CS pos: 29-30. AYA-DK. Pr: 0.9033
A0A5P8YMP8	OTHER	0.001333	0.998667	
A0A5P8YMR8	OTHER	0.241825	0.758175	
A0A5P8YMT8	OTHER	0.003258	0.996742	
A0A5P8YN47	OTHER	0.000922	0.999078	
A0A5P8YNA1	OTHER	0.001732	0.998268	
A0A5P8YNC3	OTHER	0.004845	0.995155	
A0A5P8YNL1	OTHER	0.007544	0.992456	
A0A6B3T8B5	OTHER	0.001519	0.998481	
A0A6B3T8C1	OTHER	0.001355	0.998645	
A0A6B3V616	OTHER	0.001799	0.998201	
A0A6B3V8A6	OTHER	0.022070	0.977930	
A0A6B3VB89	OTHER	0.009047	0.990953	
A0A6M0NGU2	OTHER	0.001752	0.998248	
A0A6M0NPF9	OTHER	0.058184	0.941816	
A0A7Y8RBF6	OTHER	0.026119	0.973881	
A0A7Y8RC16	OTHER	0.002580	0.997420	
A0A7Y8RC55	OTHER	0.191969	0.808031	
A0A7Y8RCW6	SP(Sec/SPI)	0.893642	0.106358	CS pos: 29-30. LHA-AT. Pr: 0.6514
A0A7Y8RD79	OTHER	0.004025	0.995975	
A0A7Y8RDP6	OTHER	0.000454	0.999546	
A0A7Y8RE30	OTHER	0.007567	0.992433	
A0A7Y8RE47	OTHER	0.003544	0.996456	
A0A7Y8RE48	OTHER	0.000552	0.999448	
A0A7Y8REI5	OTHER	0.000327	0.999673	
A0A7Y8RF16	OTHER	0.075239	0.924761	
A0A7Y8RF71	SP(Sec/SPI)	0.907648	0.092352	CS pos: 27-28. AFA-AM. Pr: 0.7400
A0A7Y8RF98	OTHER	0.001732	0.998268	
A0A7Y8RFL4	OTHER	0.000655	0.999345	
A0A7Y8RFP1	SP(Sec/SPI)	0.799674	0.200326	CS pos: 31-32. VIA-NN. Pr: 0.6716
A0A7Y8RG06	OTHER	0.081584	0.918416	
A0A7Y8RGM7	OTHER	0.034676	0.965324	
A0A7Y8RGQ3	OTHER	0.000358	0.999642	
A0A7Y8RHG9	OTHER	0.000953	0.999047	
A0A7Y8RHN0	OTHER	0.050713	0.949287	
A0A7Y8RHN7	OTHER	0.000493	0.999507	
A0A7Y8RHW9	OTHER	0.065097	0.934903	
A0A7Y8RIE4	OTHER	0.002376	0.997624	
A0A7Y8RJ83	OTHER	0.005490	0.994510	
A0A7Y8RJ92	OTHER	0.000532	0.999468	
A0A7Y8RK55	OTHER	0.070455	0.929545	
A0A7Y8UP48	OTHER	0.235898	0.764102	
A0A7Y8UQU6	OTHER	0.000776	0.999224	
A0A7Y8URY0	OTHER	0.000774	0.999226	
A0A7Y8URZ8	OTHER	0.006446	0.993554	
A0A7Y8US05	OTHER	0.002763	0.997237	
A0A7Y8US86	OTHER	0.001873	0.998127	
A0A7Y8USP3	OTHER	0.004164	0.995836	
A0A7Y8UT32	OTHER	0.002755	0.997245	
A0A7Y8UT37	OTHER	0.000317	0.999683	
A0A7Y8UTN4	OTHER	0.010983	0.989017	
A0A7Y8UU79	SP(Sec/SPI)	0.940746	0.059254	CS pos: 30-31. VQA-AS. Pr: 0.7176
A0A7Y8UVK4	OTHER	0.004079	0.995921	
O30878	OTHER	0.000466	0.999534	
O34279	OTHER	0.002021	0.997979	
O68693	OTHER	0.023735	0.976265	
O68694	SP(Sec/SPI)	0.967209	0.032791	CS pos: 17-18. GCA-TP. Pr: 0.2516
O68698	OTHER	0.002016	0.997984	
O68699	OTHER	0.001102	0.998898	
O68704	OTHER	0.002579	0.997421	
O68706	OTHER	0.001321	0.998679	
O68709	OTHER	0.001268	0.998732	
O68712	OTHER	0.000615	0.999385	
O68728	OTHER	0.000395	0.999605	
O68729	OTHER	0.000180	0.999820	
O68730	OTHER	0.000505	0.999495	
O68731	OTHER	0.001589	0.998411	
O68737	OTHER	0.000534	0.999466	
O68743	OTHER	0.000304	0.999696	
O68749	OTHER	0.000184	0.999816	
O68753	OTHER	0.002599	0.997401	
O68759	OTHER	0.000381	0.999619	
O68768	OTHER	0.035677	0.964323	
O68769	OTHER	0.001440	0.998560	
O68771	OTHER	0.001794	0.998206	
O68788	OTHER	0.001287	0.998713	
O68791	OTHER	0.001738	0.998262	
O68792	OTHER	0.002196	0.997804	
P58431	OTHER	0.006464	0.993536	
P58483	OTHER	0.003715	0.996285	
P58722	OTHER	0.011212	0.988788	
P69957	OTHER	0.000345	0.999655	
P69961	OTHER	0.000976	0.999024	
P74989	OTHER	0.000435	0.999565	
Q0W9V7	SP(Sec/SPI)	0.955784	0.044216	CS pos: 23-24. CTT-NP. Pr: 0.2530
Q0W9V8	OTHER	0.042995	0.957005	
Q0W9W7	OTHER	0.261519	0.738481	
Q0W9X6	OTHER	0.014390	0.985610	
Q0W9X7	OTHER	0.000458	0.999542	
Q0W9Z6	OTHER	0.003551	0.996449	
Q0W9Z7	OTHER	0.000748	0.999252	
Q0W9Z9	OTHER	0.130985	0.869015	
Q0WA21	OTHER	0.000453	0.999547	
Q0WA27	SP(Sec/SPI)	0.964703	0.035297	CS pos: 24-25. VQA-EA. Pr: 0.7470
Q0WA31	OTHER	0.100112	0.899888	
Q0WA92	OTHER	0.001303	0.998697	
Q0WAA1	OTHER	0.007022	0.992978	
Q0WAA5	SP(Sec/SPI)	0.988855	0.011145	CS pos: 21-22. VQA-AP. Pr: 0.9361
Q0WAC0	OTHER	0.000910	0.999090	
Q0WAC1	OTHER	0.013404	0.986596	
Q0WAC6	OTHER	0.000307	0.999693	
Q0WAF6	OTHER	0.000386	0.999614	
Q0WAH8	OTHER	0.169200	0.830800	
Q0WAI2	OTHER	0.001339	0.998661	
Q0WAI7	SP(Sec/SPI)	0.995426	0.004574	CS pos: 21-22. SAC-DN. Pr: 0.6292
Q0WAM0	OTHER	0.055683	0.944317	
Q0WAM7	OTHER	0.057198	0.942802	
Q0WAU8	OTHER	0.002225	0.997775	
Q0WAU9	OTHER	0.001789	0.998211	
Q0WAV2	OTHER	0.000442	0.999558	
Q0WAV4	OTHER	0.003019	0.996981	
Q0WAX8	OTHER	0.012369	0.987631	
Q0WB34	OTHER	0.000979	0.999021	
Q0WB39	OTHER	0.002139	0.997861	
Q0WB40	OTHER	0.001866	0.998134	
Q0WB43	OTHER	0.001412	0.998588	
Q0WB53	OTHER	0.001235	0.998765	
Q0WB59	OTHER	0.001167	0.998833	
Q0WB60	OTHER	0.001641	0.998359	
Q0WB92	SP(Sec/SPI)	0.966997	0.033003	CS pos: 21-22. AFA-MS. Pr: 0.7500
Q0WBD4	SP(Sec/SPI)	0.956581	0.043419	CS pos: 21-22. LLC-DQ. Pr: 0.3843
Q0WBE5	OTHER	0.000406	0.999594	
Q0WBG6	SP(Sec/SPI)	0.992061	0.007939	CS pos: 17-18. VAC-DQ. Pr: 0.6729
Q0WBP2	OTHER	0.001087	0.998913	
Q0WBQ2	OTHER	0.000934	0.999066	
Q0WBV4	OTHER	0.000586	0.999414	
Q0WBY3	OTHER	0.024205	0.975795	
Q0WC16	OTHER	0.001851	0.998149	
Q0WC24	OTHER	0.003810	0.996190	
Q0WC27	OTHER	0.002527	0.997473	
Q0WC30	OTHER	0.009763	0.990237	
Q0WC31	SP(Sec/SPI)	0.998030	0.001970	CS pos: 24-25. VLA-DQ. Pr: 0.9405
Q0WC34	OTHER	0.000618	0.999382	
Q0WC38	SP(Sec/SPI)	0.809319	0.190681	CS pos: 31-32. LIA-TP. Pr: 0.4434
Q0WC39	OTHER	0.015336	0.984664	
Q0WC68	OTHER	0.001025	0.998975	
Q0WC83	OTHER	0.004897	0.995103	
Q0WC85	OTHER	0.008472	0.991528	
Q0WCA9	OTHER	0.002351	0.997649	
Q0WCH9	OTHER	0.000835	0.999165	
Q0WCI4	OTHER	0.002153	0.997847	
Q0WCI5	OTHER	0.461599	0.538401	
Q0WCI9	OTHER	0.000814	0.999186	
Q0WCQ7	OTHER	0.000623	0.999377	
Q0WCR7	OTHER	0.005511	0.994489	
Q0WCV5	SP(Sec/SPI)	0.988865	0.011135	CS pos: 26-27. ANA-AS. Pr: 0.8520
Q0WCV8	OTHER	0.001591	0.998409	
Q0WCV9	OTHER	0.011688	0.988312	
Q0WCW0	OTHER	0.000717	0.999283	
Q0WCX4	OTHER	0.340960	0.659040	
Q0WCZ2	SP(Sec/SPI)	0.915714	0.084286	CS pos: 26-27. TGC-TD. Pr: 0.3456
Q0WD02	OTHER	0.412223	0.587777	
Q0WD14	OTHER	0.000692	0.999308	
Q0WD17	OTHER	0.001176	0.998824	
Q0WD26	OTHER	0.001021	0.998979	
Q0WD44	OTHER	0.037290	0.962710	
Q0WD47	OTHER	0.000630	0.999370	
Q0WD55	OTHER	0.002983	0.997017	
Q0WD77	OTHER	0.000733	0.999267	
Q0WD79	OTHER	0.001079	0.998921	
Q0WD84	OTHER	0.000492	0.999508	
Q0WD98	OTHER	0.000496	0.999504	
Q0WDA4	OTHER	0.062362	0.937638	
Q0WDB1	OTHER	0.010377	0.989623	
Q0WDB7	SP(Sec/SPI)	0.992957	0.007043	CS pos: 24-25. AFA-AI. Pr: 0.8294
Q0WDG1	OTHER	0.002076	0.997924	
Q0WDG6	OTHER	0.004324	0.995676	
Q0WDH7	OTHER	0.029372	0.970628	
Q0WDM7	OTHER	0.080557	0.919443	
Q0WDM8	SP(Sec/SPI)	0.588931	0.411069	CS pos: 22-23. AAG-TF. Pr: 0.2045
Q0WDN3	OTHER	0.001209	0.998791	
Q0WDN5	OTHER	0.000993	0.999007	
Q0WDQ7	OTHER	0.000746	0.999254	
Q0WDT8	OTHER	0.000891	0.999109	
Q0WDV0	OTHER	0.003746	0.996254	
Q0WDV5	OTHER	0.206323	0.793677	
Q0WDZ2	OTHER	0.019851	0.980149	
Q0WE12	SP(Sec/SPI)	0.996788	0.003212	CS pos: 22-23. AYA-AE. Pr: 0.8512
Q0WE17	OTHER	0.378331	0.621669	
Q0WE34	OTHER	0.003529	0.996471	
Q0WE37	OTHER	0.002441	0.997559	
Q0WE38	OTHER	0.000627	0.999373	
Q0WE55	OTHER	0.001191	0.998809	
Q0WE58	OTHER	0.032755	0.967245	
Q0WE71	OTHER	0.073583	0.926417	
Q0WE78	OTHER	0.000601	0.999399	
Q0WE88	OTHER	0.007130	0.992870	
Q0WEC2	OTHER	0.001962	0.998038	
Q0WEE4	OTHER	0.004615	0.995385	
Q0WEF8	OTHER	0.000395	0.999605	
Q0WEF9	OTHER	0.001868	0.998132	
Q0WEG1	OTHER	0.003381	0.996619	
Q0WEG6	SP(Sec/SPI)	0.999595	0.000405	CS pos: 20-21. VLA-QP. Pr: 0.8914
Q0WEJ3	OTHER	0.149312	0.850688	
Q0WEK0	OTHER	0.009392	0.990608	
Q0WEK7	OTHER	0.001549	0.998451	
Q0WEK9	OTHER	0.001799	0.998201	
Q0WEM9	SP(Sec/SPI)	0.996999	0.003001	CS pos: 18-19. CGA-KK. Pr: 0.9317
Q0WEN6	OTHER	0.001900	0.998100	
Q0WEN7	OTHER	0.001895	0.998105	
Q0WEP0	OTHER	0.000742	0.999258	
Q0WEP1	SP(Sec/SPI)	0.998787	0.001213	CS pos: 18-19. AFA-GS. Pr: 0.8300
Q0WEP2	OTHER	0.001256	0.998744	
Q0WEP3	OTHER	0.023226	0.976774	
Q0WEP4	OTHER	0.030764	0.969236	
Q0WEP5	OTHER	0.192082	0.807918	
Q0WEP6	OTHER	0.001110	0.998890	
Q0WEP7	OTHER	0.002144	0.997856	
Q0WEP8	OTHER	0.014762	0.985238	
Q0WEP9	OTHER	0.000338	0.999662	
Q0WEQ0	OTHER	0.000803	0.999197	
Q0WEQ1	OTHER	0.001121	0.998879	
Q0WEQ5	OTHER	0.000898	0.999102	
Q0WET2	OTHER	0.185945	0.814055	
Q0WEU7	OTHER	0.000618	0.999382	
Q0WEV5	OTHER	0.000595	0.999405	
