ID	Evidences length	Evidences list	Complete evidences
Q7CJG3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CJM7	1	PHOBIUS_TM	PHOBIUS_TM
Q8D124	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8Z9U3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZA77	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZAE4	1	GPI	GPI
Q8ZAG5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZAH6	1	GPI	GPI
Q8ZAM1	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZAR2	1	SL	SL
Q8ZAX0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZB72	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZBH1	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZBM0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZBY6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZBZ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZBZ2	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZBZ5	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZC94	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZD54	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZD97	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZDB1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZDB2	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZDH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZDL3	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8ZDX7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZDX9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZDY0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZE46	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZED2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZEI2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZF51	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZGA8	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZGA9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZGC7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZH59	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q8ZI65	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZI67	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZIF2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZIL9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZIP0	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZIY9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZJ81	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZJL7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9X6B2	1	PHOBIUS_TM	PHOBIUS_TM
Q9ZC45	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W1E9	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A0H2W1U9	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W2Q9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W2V7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W3E3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W4K8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W593	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W5E0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W5L9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W604	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W6T7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W7D1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W7K1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W914	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PCZ7	1	PHOBIUS_TM	PHOBIUS_TM
A0A2S9PDG8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PE25	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PFD7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PG08	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PHG4	1	PHOBIUS_TM	PHOBIUS_TM
A0A2S9PHH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PHP3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PID6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PIZ5	1	PHOBIUS_TM	PHOBIUS_TM
A0A2S9PJ11	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PJH3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PJH9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GV98	1	PHOBIUS_TM	PHOBIUS_TM
A0A2U2GVE3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GVS8	1	PHOBIUS_TM	PHOBIUS_TM
A0A2U2GWA8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GX38	1	PHOBIUS_TM	PHOBIUS_TM
A0A2U2GX74	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GXB4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GXE2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GY47	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GYE9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GYL1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GYV9	1	PHOBIUS_TM	PHOBIUS_TM
A0A2U2GYW9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GZ06	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2GZ53	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
A0A2U2GZZ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H077	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H0F4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H0I2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H1F2	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A2U2H1F8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H298	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H2U2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H334	1	SL	SL
A0A2U2H3T5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H3V9	1	PHOBIUS_TM	PHOBIUS_TM
A0A2U2H401	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H415	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H4C4	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A2U2H4D0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H4K5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PC31	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PDF6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PEF7	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PEG8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PET5	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PEW7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PF58	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PF70	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PFL4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PG04	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PH23	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PH95	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PIA0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PIV1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PJ51	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PJC2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PJN0	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PJU6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PJW4	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PL06	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PM51	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PMG2	1	PHOBIUS_TM	PHOBIUS_TM
A0A380PMZ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A380PNY9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A384KAF7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4AWL6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4AWW0	1	PHOBIUS_TM	PHOBIUS_TM
A0A3N4AY97	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4AZX9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B0N5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B130	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B1G6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B3D9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B3P3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B554	1	PHOBIUS_TM	PHOBIUS_TM
A0A3N4B7T0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B8H9	1	PHOBIUS_TM	PHOBIUS_TM
A0A3N4BLS8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4BT88	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A454Y4S5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YAH0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YAY3	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A5P8YB08	1	SL	SL
A0A5P8YBB3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YBE7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YBG5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YBP5	1	PHOBIUS_TM	PHOBIUS_TM
A0A5P8YBT6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YC83	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YDD1	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A5P8YDG8	1	PHOBIUS_TM	PHOBIUS_TM
A0A5P8YE76	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YEH0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YEY4	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A5P8YFD7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YFK1	1	PHOBIUS_TM	PHOBIUS_TM
A0A5P8YFZ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YH33	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YH63	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YHN3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YHU6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YHY6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YI16	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YI44	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YIP5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YJ67	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YJU4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YJW9	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A5P8YKM5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YKS9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YL10	1	SL	SL
A0A5P8YL80	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YLF0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YLN2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YMF5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YMH7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A6B3T0K9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A7Y8RF04	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A7Y8USE3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0DM79	1	PHOBIUS_TM	PHOBIUS_TM
P58655	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P68588	1	PHOBIUS_TM	PHOBIUS_TM
P69955	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P69980	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P69982	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P69984	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P69986	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0W9W3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WAE5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WBG7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WBP1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WBR5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WCB9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WD03	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WDF0	1	PHOBIUS_TM	PHOBIUS_TM
Q0WDF4	1	PHOBIUS_TM	PHOBIUS_TM
Q0WDK1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WDR8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WDR9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WED3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WEL2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WFF3	1	PHOBIUS_TM	PHOBIUS_TM
Q0WFJ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WFW2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WFX1	1	PHOBIUS_TM	PHOBIUS_TM
Q0WG23	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WGJ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WH31	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WH66	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WHD6	1	PHOBIUS_TM	PHOBIUS_TM
Q0WHD8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WHS8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WIM0	1	PHOBIUS_TM	PHOBIUS_TM
Q0WIQ6	1	SL	SL
Q0WIW7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WIY9	1	PHOBIUS_TM	PHOBIUS_TM
Q0WIZ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WJ82	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WJ93	1	PHOBIUS_TM	PHOBIUS_TM
Q0WJC2	1	PHOBIUS_TM	PHOBIUS_TM
Q0WJE3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WJM7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q0WKM2	1	SL	SL
Q56954	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q56955	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q56956	1	PHOBIUS_TM	PHOBIUS_TM
Q56992	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q74Q23	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q74RF9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q74RU7	1	PHOBIUS_TM	PHOBIUS_TM
Q74S14	1	PHOBIUS_TM	PHOBIUS_TM
Q74TH2	1	SL	SL
Q74U12	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CFM3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CFM4	1	PHOBIUS_TM	PHOBIUS_TM
Q7CFX8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CFY4	1	PHOBIUS_TM	PHOBIUS_TM
Q7CG48	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CG49	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CG77	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CGA7	1	PHOBIUS_TM	PHOBIUS_TM
Q7CGB1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CGZ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CHI5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CIP6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CJL1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CKP5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CKV5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CKV6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CL81	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8D074	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8D1E4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8Z9R8	1	PHOBIUS_TM	PHOBIUS_TM
Q8Z9V7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8ZA28	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZA50	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q8ZAF1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZAM2	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZAS3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZAU8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZAU9	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZBZ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZCD6	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZCH3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZCK2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZCV9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZCW0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZCW1	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZD92	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZD96	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZDX4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZDZ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZEB3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZEC8	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8ZED4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZEH5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZEM1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZEW3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZFF8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZFJ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZGC3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZGH1	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8ZGS9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZGY6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZH39	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZHH6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZHV0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZHZ4	1	GPI	GPI
Q8ZIQ1	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZIX7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZIX8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZIZ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZJ73	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZJ83	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZJC4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZJE6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZJR1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZJT0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9R7V3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9X5X6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9Z375	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9ZC64	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W0W1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W1B0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W1T4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W1W1	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A0H2W1X7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W203	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W228	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W2L1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W2Y7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W308	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W379	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W3A5	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W3H2	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W4E2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W4H2	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W4S3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W4V6	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W4Z5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W5A4	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A0H2W5K7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W5M8	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W5T7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W616	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W693	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W694	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
