SEQENCE ID                     TM SP PREDICTION
Q7CG46                          0  0 o
Q7CG56                          0  0 o
Q7CG87                          0  Y n7-15c20/21o
Q7CGB6                          0  0 o
Q7CGD9                          1  0 i51-72o
Q7CGS4                          0  0 o
Q7CH07                          0  0 o
Q7CH25                          0  0 o
Q7CH65                          0  0 o
Q7CH66                          0  0 o
Q7CH75                          0  0 o
Q7CHF8                          0  0 o
Q7CHI2                          4  0 i274-294o524-549i573-598o610-632i
Q7CHK7                          0  0 o
Q7CHQ3                          0  0 o
Q7CHU1                          0  0 o
Q7CHW4                          0  0 o
Q7CI09                          0  0 o
Q7CI10                          0  Y n16-27c35/36o
Q7CIA2                          0  0 o
Q7CIB7                          0  0 o
Q7CIC2                          0  0 o
Q7CIC6                          4  0 i5-24o30-51i58-79o85-101i
Q7CIP8                          0  0 o
Q7CIR8                          0  0 o
Q7CIS2                          0  0 o
Q7CIT9                          0  0 o
Q7CIX9                          0  0 o
Q7CIZ3                          0  0 o
Q7CJ65                          0  0 o
Q7CJ76                          0  0 o
Q7CJ84                         14  0 o6-28i35-55o75-98i105-122o128-147i159-179o202-226i238-259o271-290i297-316o328-351i372-396o408-428i449-472o
Q7CJ87                          3  0 o6-24i31-54o60-81i
Q7CJ89                          0  0 o
Q7CJ92                          0  0 o
Q7CJ93                          0  0 o
Q7CJ96                          0  Y n7-17c22/23o
Q7CJF3                          0  0 o
Q7CJG3                          4  0 i303-323o553-578i602-631o637-661i
Q7CJI9                          0  0 o
Q7CJL3                          0  0 o
Q7CJM7                          1  0 i112-133o
Q7CJN8                          0  0 o
Q7CJV2                          0  Y n5-16c21/22o
Q7CJY7                          0  0 o
Q7CKC7                          0  0 o
Q7CKD4                          0  0 o
Q7CKG8                          0  0 o
Q7CKJ6                          0  0 o
Q7CKM4                          0  0 o
Q7CLE5                          0  0 o
Q8D091                          0  Y n9-18c25/26o
Q8D0D7                          0  0 o
Q8D0D8                          0  0 o
Q8D0U3                          0  0 o
Q8D0W8                          0  0 o
Q8D124                          8  0 i12-28o34-50i57-76o88-112i124-142o162-185i192-208o490-508i
Q8D1G8                          0  0 o
Q8D1H3                          0  0 o
Q8D1I3                          0  0 o
Q8D1K0                          0  0 o
Q8D1Q8                          0  0 o
Q8Z9S4                          0  0 o
Q8Z9S8                          0  0 o
Q8Z9T1                          0  0 o
Q8Z9U2                          0  0 o
Q8Z9U3                          4  Y n7-17c24/25o353-372i416-439o462-478i499-518o
Q8Z9U7                          0  0 o
Q8Z9Y1                          0  0 o
Q8ZA09                          0  0 o
Q8ZA10                          0  0 o
Q8ZA34                          0  Y n11-22c27/28o
Q8ZA75                          0  0 o
Q8ZA77                          1  0 o447-467i
Q8ZA78                          0  0 o
Q8ZA84                          0  0 o
Q8ZA85                          0  Y n11-18c23/24o
Q8ZA86                          0  0 o
Q8ZA87                          0  0 o
Q8ZA97                          0  0 o
Q8ZAA0                          0  0 o
Q8ZAA1                          0  Y n7-17c21/22o
Q8ZAA2                          0  0 o
Q8ZAC2                          0  0 o
Q8ZAD8                          0  0 o
Q8ZAE3                          0  0 o
Q8ZAE4                          0  0 o
Q8ZAF0                          0  0 o
Q8ZAG5                          2  0 i255-278o290-310i
Q8ZAH6                          0  Y n5-17c22/23o
Q8ZAI0                          0  0 o
Q8ZAL3                          0  0 o
Q8ZAM1                          2  0 i500-517o523-539i
Q8ZAM9                          0  0 o
Q8ZAN4                          0  0 o
Q8ZAN8                          0  0 o
Q8ZAP9                          0  0 o
Q8ZAQ1                          0  0 o
Q8ZAQ2                          0  0 o
Q8ZAQ7                          0  0 o
Q8ZAQ8                          0  0 o
Q8ZAR2                          0  0 o
Q8ZAR3                          0  0 i
Q8ZAR4                          0  0 o
Q8ZAR7                          0  0 o
Q8ZAS2                          0  0 o
Q8ZAS8                          0  0 o
Q8ZAS9                          0  Y n7-18c24/25o
Q8ZAW9                          0  0 o
Q8ZAX0                          6  0 i9-30o50-67i79-98o118-138i150-167o173-193i
Q8ZAX1                          0  0 o
Q8ZAX7                          0  0 o
Q8ZB39                          0  0 o
Q8ZB47                          0  0 o
Q8ZB56                          0  0 o
Q8ZB72                          1  0 o20-40i
Q8ZB98                          0  0 o
Q8ZBB5                          0  0 i
Q8ZBB8                          0  0 o
Q8ZBC2                          0  0 o
Q8ZBC4                          0  0 i
Q8ZBH1                          1  0 o513-531i
Q8ZBH3                          0  0 o
Q8ZBI0                          0  0 o
Q8ZBI2                          0  0 o
Q8ZBJ7                          0  0 o
Q8ZBJ8                          0  0 o
Q8ZBK0                          0  Y n9-19c28/29o
Q8ZBK6                          0  0 i
Q8ZBK7                          0  0 o
Q8ZBK8                          0  0 o
Q8ZBL9                          0  0 o
Q8ZBM0                         11  0 i33-54o74-97i124-145o177-201i213-232o252-272i292-312o318-342i354-379o391-413i420-439o
Q8ZBM3                          0  Y n12-23c27/28o
Q8ZBN2                          0  0 o
Q8ZBN7                          0  0 o
Q8ZBP1                          0  0 o
Q8ZBP2                          0  0 o
Q8ZBP3                          0  0 o
Q8ZBP7                          0  0 o
Q8ZBP8                          0  0 o
Q8ZBP9                          0  0 o
Q8ZBQ0                          0  0 o
Q8ZBT8                          0  0 o
Q8ZBU3                          0  0 o
Q8ZBU9                          0  0 o
Q8ZBV7                          0  0 o
Q8ZBY6                          2  Y n2-13c17/18o41-60i279-296o
Q8ZBY7                          0  0 o
Q8ZBZ1                          8  0 i56-73o122-146i158-177o264-290i297-315o327-345i357-375o381-401i
Q8ZBZ2                          1  0 o16-37i
Q8ZBZ5                          1  0 o6-24i
Q8ZC08                          0  0 o
Q8ZC15                          0  0 o
Q8ZC33                          0  0 o
Q8ZC41                          0  0 o
Q8ZC45                          0  0 o
Q8ZC51                          0  Y n5-16c21/22o
Q8ZC64                          0  0 o
Q8ZC65                          0  0 o
Q8ZC66                          0  0 o
Q8ZC72                          0  0 o
Q8ZC94                          1  0 o71-89i
Q8ZC98                          0  0 o
Q8ZCA8                          0  0 o
Q8ZCB8                          0  0 o
Q8ZCC0                          0  0 o
Q8ZCC3                          0  Y n2-13c18/19o
Q8ZCD0                          0  0 o
Q8ZCF9                          0  0 o
Q8ZCG9                          0  0 o
Q8ZCK0                          0  0 o
Q8ZCM2                          0  0 o
Q8ZCP4                          0  0 o
Q8ZCQ2                          0  0 o
Q8ZCR1                          0  0 o
Q8ZCS5                          0  0 o
Q8ZCT2                          0  0 o
Q8ZCU4                          0  0 o
Q8ZCX2                          0  0 o
Q8ZCX5                          0  0 o
Q8ZCX8                          0  0 o
Q8ZCX9                          0  0 o
Q8ZD27                          0  0 o
Q8ZD36                          0  0 o
Q8ZD40                          0  Y n4-15c19/20o
Q8ZD41                          0  0 o
Q8ZD46                          0  0 o
Q8ZD52                          0  Y n15-27c35/36o
Q8ZD54                          1  0 i9-30o
Q8ZD58                          0  0 o
Q8ZD71                          0  0 o
Q8ZD74                          0  0 o
Q8ZD80                          0  0 o
Q8ZD86                          0  0 o
Q8ZD97                          6  0 i33-51o63-82i219-240o260-283i622-642o662-685i
Q8ZD98                          0  Y n7-17c21/22o
Q8ZDB1                          4  0 o6-23i35-57o69-89i101-125o
Q8ZDB2                          3  Y n4-14c18/19o37-56i63-84o96-118i
Q8ZDD9                          0  0 o
Q8ZDE1                          0  0 o
Q8ZDG1                          0  0 o
Q8ZDG3                          0  0 o
Q8ZDG6                          0  Y n5-15c20/21o
Q8ZDG9                          0  0 i
Q8ZDH0                          0  0 o
Q8ZDH2                          3  Y n4-14c18/19o34-55i67-91o97-121i
Q8ZDJ6                          0  0 o
Q8ZDK3                          0  0 o
Q8ZDL3                          9  0 i12-32o52-69i81-100o112-133i154-174o186-207i234-257o269-289i301-322o
Q8ZDV4                          0  0 o
Q8ZDW5                          0  0 o
Q8ZDX0                          0  0 o
Q8ZDX1                          0  0 o
Q8ZDX6                          0  0 o
Q8ZDX7                          2  0 i235-261o273-295i
Q8ZDX9                         10  Y n9-22c26/27o83-107i119-144o164-194i206-229o259-282i294-311o317-338i350-372o384-404i411-429o
Q8ZDY0                          3  Y n5-16c34/35o44-68i80-98o104-122i
Q8ZDY2                          0  0 o
Q8ZDY4                          0  0 o
Q8ZDZ6                          0  Y n6-17c25/26o
Q8ZE08                          0  0 o
Q8ZE19                          0  0 o
Q8ZE20                          0  0 o
Q8ZE42                          0  0 o
Q8ZE46                          2  0 i272-294o300-321i
Q8ZE82                          0  0 i
Q8ZEB6                          0  0 o
Q8ZEC9                          0  Y n4-17c25/26o
Q8ZED2                         10  0 i18-36o42-59i71-87o93-111i123-141o207-232i239-259o265-284i296-315o321-339i
Q8ZED3                          0  Y n9-20c28/29o
Q8ZEF0                          0  0 o
Q8ZEG0                          0  0 o
Q8ZEG6                          0  0 o
Q8ZEG7                          0  0 o
Q8ZEG8                          0  0 o
Q8ZEG9                          0  0 o
Q8ZEI2                          2  0 o6-25i37-58o
Q8ZEJ1                          0  0 o
Q8ZEK1                          0  0 o
Q8ZEK7                          0  0 o
Q8ZEL9                          0  0 o
Q8ZES9                          0  0 o
Q8ZEU5                          0  0 o
Q8ZEU6                          0  0 o
Q8ZEU7                          0  0 o
Q8ZEV0                          0  0 o
Q8ZEX4                          0  0 o
Q8ZEX9                          0  0 o
Q8ZEY1                          0  0 o
Q8ZEY4                          0  0 o
Q8ZF51                          5  0 i7-25o31-52i64-83o89-108i151-172o
Q8ZF52                          0  0 o
Q8ZF61                          0  0 o
Q8ZFB2                          0  Y n6-16c20/21o
Q8ZFD6                          0  0 o
Q8ZFH8                          0  0 o
Q8ZFM0                          0  0 o
Q8ZFQ3                          0  0 o
Q8ZFQ5                          0  0 o
Q8ZFR0                          0  0 o
Q8ZFR4                          0  0 o
Q8ZFS3                          0  0 o
Q8ZFT4                          0  0 i
Q8ZFT7                          0  0 o
Q8ZFT8                          0  0 o
Q8ZFU1                          0  0 o
Q8ZFV7                          0  0 o
Q8ZFV8                          0  0 o
Q8ZFX4                          0  0 o
Q8ZFX5                          0  0 o
Q8ZFX7                          0  0 o
Q8ZFX8                          0  0 o
Q8ZFY0                          0  0 o
Q8ZFY1                          0  0 o
Q8ZFZ8                          0  0 o
Q8ZFZ9                          0  0 o
Q8ZG01                          0  0 o
Q8ZG08                          0  0 o
Q8ZG09                          0  0 o
Q8ZG15                          0  0 o
Q8ZG91                          0  0 o
Q8ZG93                          0  0 o
Q8ZG99                          0  0 o
Q8ZGA1                          0  0 o
Q8ZGA4                          0  0 o
Q8ZGA8                          1  0 i12-30o
Q8ZGA9                          5  Y n25-36c40/41o64-92i142-163o169-186i244-269o275-295i
Q8ZGB3                          0  0 o
Q8ZGB4                          0  0 o
Q8ZGC4                          0  0 o
Q8ZGC7                          5  0 i22-44o75-98i110-131o137-158i165-186o
Q8ZGD2                          0  0 o
Q8ZGE1                          0  0 o
Q8ZGG1                          0  0 o
Q8ZGH4                          0  0 o
Q8ZGJ1                          0  0 o
Q8ZGJ9                          0  0 o
Q8ZGM2                          0  0 o
Q8ZGR6                          0  0 o
Q8ZGU5                          0  0 o
Q8ZGV2                          0  0 o
Q8ZGV9                          0  0 o
Q8ZGW0                          0  0 o
Q8ZGW2                          0  0 o
Q8ZGW4                          0  0 o
Q8ZGW5                          0  0 o
Q8ZGW7                          0  0 o
Q8ZGW9                          0  0 o
Q8ZGX6                          0  0 o
Q8ZGY3                          0  0 o
Q8ZGY5                          0  0 o
Q8ZGY8                          0  0 o
Q8ZH00                          0  0 o
Q8ZH30                          0  0 o
Q8ZH36                          0  0 o
Q8ZH37                          0  0 o
Q8ZH38                          0  0 o
Q8ZH52                          0  0 o
Q8ZH54                          0  0 o
Q8ZH57                          0  0 o
Q8ZH59                          3  Y n4-12c16/17o98-119i377-397o427-445i
Q8ZH61                          0  0 o
Q8ZH62                          0  0 o
Q8ZH64                          0  0 o
Q8ZH68                          0  0 o
Q8ZH69                          0  0 o
Q8ZH72                          0  0 o
Q8ZH75                          0  0 o
Q8ZH78                          0  0 o
Q8ZHE6                          0  Y n4-15c19/20o
Q8ZHE9                          0  0 o
Q8ZHG7                          0  0 o
Q8ZHG8                          0  0 o
Q8ZHH3                          0  0 o
Q8ZHH8                          0  0 o
Q8ZHI8                          0  0 o
Q8ZHK1                          0  0 o
Q8ZHK5                          0  0 o
Q8ZHP0                          0  Y n7-18c23/24o
Q8ZHV1                          0  0 i
Q8ZI40                          0  0 o
Q8ZI56                          0  0 o
Q8ZI61                          0  0 o
Q8ZI65                          7  Y n6-13c18/19o50-69i89-108o120-139i151-171o191-211i223-245o251-271i
Q8ZI67                          5  0 o6-28i49-74o80-99i111-132o138-158i
Q8ZIE3                          0  0 i
Q8ZIE7                          0  0 o
Q8ZIE8                          0  0 o
Q8ZIE9                          0  0 o
Q8ZIF1                          0  0 o
Q8ZIF2                         10  0 o20-40i73-90o96-114i134-152o172-193i200-219o239-256i263-284o290-311i338-357o
Q8ZIG8                          0  0 o
Q8ZIG9                          0  0 o
Q8ZIH0                          0  0 o
Q8ZII0                          0  0 o
Q8ZIK1                          0  0 o
Q8ZIK5                          0  0 o
Q8ZIL6                          0  0 o
Q8ZIL9                          5  0 o12-30i42-61o67-88i95-113o133-153i
Q8ZIM0                          0  0 o
Q8ZIM6                          0  0 o
Q8ZIM7                          0  0 o
Q8ZIN2                          0  0 o
Q8ZIN5                          0  0 o
Q8ZIP0                          1  0 o146-166i
Q8ZIP1                          0  0 o
Q8ZIQ2                          0  0 o
Q8ZIQ3                          0  Y n4-15c20/21o
Q8ZIQ4                          0  0 o
Q8ZIV4                          0  0 o
Q8ZIV7                          0  0 o
Q8ZIW2                          0  0 o
Q8ZIW3                          0  0 o
Q8ZIX0                          0  0 o
Q8ZIX1                          0  0 o
Q8ZIX3                          0  0 o
Q8ZIY3                          0  0 o
Q8ZIY4                          0  0 i
Q8ZIY9                          8  Y n6-17c24/25o195-222i234-258o270-292i313-344o356-375i387-408o414-431i438-458o
Q8ZJ02                          0  0 o
Q8ZJ03                          0  0 o
Q8ZJ06                          0  0 o
Q8ZJ07                          0  0 o
Q8ZJ10                          0  0 o
Q8ZJ14                          0  0 o
Q8ZJ16                          0  0 o
Q8ZJ18                          0  0 o
Q8ZJ20                          0  0 o
Q8ZJ74                          0  0 o
Q8ZJ81                          1  0 i76-93o
Q8ZJ87                          0  0 o
Q8ZJB2                          0  0 o
Q8ZJC5                          0  0 o
Q8ZJD0                          0  0 o
Q8ZJF2                          0  0 o
Q8ZJF3                          0  0 o
Q8ZJF6                          0  0 o
Q8ZJF7                          0  0 o
Q8ZJG9                          0  0 o
Q8ZJI2                          0  0 o
Q8ZJI3                          0  0 o
Q8ZJJ4                          0  0 o
Q8ZJK9                          0  0 o
Q8ZJL6                          0  0 o
Q8ZJL7                          6  0 i12-32o38-60i81-102o114-138i158-175o181-199i
Q8ZJN0                          0  0 o
Q8ZJN2                          0  0 o
Q8ZJN4                          0  0 o
Q8ZJN9                          0  0 o
Q8ZJP5                          0  0 o
Q8ZJP6                          0  0 o
Q8ZJP7                          0  0 o
Q8ZJP8                          0  0 o
Q8ZJS4                          0  0 o
Q8ZJT1                          0  0 o
Q93PE0                          0  0 o
Q9F7D4                          0  0 o
Q9X6B2                          4  0 i7-24o44-62i82-106o143-162i
Q9ZC45                          6  0 o6-32i39-64o76-98i110-129o141-161i173-194o
Q9ZC67                          0  0 i
Q9ZC70                          0  0 o
Q9ZC74                          0  0 o
Q9ZFR9                          0  0 o
