# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
P69965	SP(Sec/SPI)	0.709593	0.290407	CS pos: 31-32. AYS-QD. Pr: 0.6548
P69972	SP(Sec/SPI)	0.951175	0.048825	CS pos: 21-22. CKV-DL. Pr: 0.4861
P69976	OTHER	0.000644	0.999356	
P69988	OTHER	0.000471	0.999529	
P69990	OTHER	0.001244	0.998756	
P69992	OTHER	0.000166	0.999834	
P69994	OTHER	0.000747	0.999253	
Q0W9V5	OTHER	0.001455	0.998545	
Q0WAF0	OTHER	0.001818	0.998182	
Q0WAJ7	OTHER	0.003513	0.996487	
Q0WAP0	OTHER	0.002383	0.997617	
Q0WAP4	OTHER	0.000977	0.999023	
Q0WAY7	OTHER	0.001399	0.998601	
Q0WB94	OTHER	0.002299	0.997701	
Q0WBC0	OTHER	0.003818	0.996182	
Q0WBC9	OTHER	0.001119	0.998881	
Q0WBD0	SP(Sec/SPI)	0.766740	0.233260	CS pos: 24-25. SLG-HE. Pr: 0.2500
Q0WBF9	OTHER	0.002865	0.997135	
Q0WBN8	OTHER	0.001381	0.998619	
Q0WBP7	OTHER	0.000455	0.999545	
Q0WCB5	OTHER	0.006631	0.993369	
Q0WCK4	OTHER	0.002299	0.997701	
Q0WCN4	OTHER	0.001044	0.998956	
Q0WD07	OTHER	0.029195	0.970805	
Q0WD32	OTHER	0.003818	0.996182	
Q0WDC3	OTHER	0.001024	0.998976	
Q0WDR2	OTHER	0.000698	0.999302	
Q0WDX2	OTHER	0.011295	0.988705	
Q0WEF0	OTHER	0.010561	0.989439	
Q0WEG0	OTHER	0.000584	0.999416	
Q0WEI1	OTHER	0.006914	0.993086	
Q0WER5	OTHER	0.001648	0.998352	
Q0WEY9	OTHER	0.000323	0.999677	
Q0WEZ8	OTHER	0.003428	0.996572	
Q0WF87	OTHER	0.031828	0.968172	
Q0WFU0	OTHER	0.001245	0.998755	
Q0WFU3	OTHER	0.000443	0.999557	
Q0WGE8	OTHER	0.002375	0.997625	
Q0WGS0	OTHER	0.005333	0.994667	
Q0WHP9	OTHER	0.001581	0.998419	
Q0WHW5	OTHER	0.001705	0.998295	
Q0WIC8	OTHER	0.000462	0.999538	
Q0WJ78	OTHER	0.000984	0.999016	
Q0WJE4	OTHER	0.005042	0.994958	
Q0WJP9	OTHER	0.000885	0.999115	
Q0WJT0	OTHER	0.000320	0.999680	
Q0WJT1	OTHER	0.008312	0.991688	
Q0WJY2	OTHER	0.005806	0.994194	
Q0WJZ4	OTHER	0.001161	0.998839	
Q0WKA0	OTHER	0.000444	0.999556	
Q0WKI9	OTHER	0.002992	0.997008	
Q56953	OTHER	0.000593	0.999407	
Q56973	OTHER	0.001260	0.998740	
Q56974	SP(Sec/SPI)	0.871186	0.128814	CS pos: 26-27. SWA-QE. Pr: 0.8650
Q56989	SP(Sec/SPI)	0.898143	0.101857	CS pos: 28-29. TQA-AD. Pr: 0.7926
Q56993	OTHER	0.003715	0.996285	
Q60112	OTHER	0.005081	0.994919	
Q74PI5	OTHER	0.000748	0.999252	
Q74PY8	OTHER	0.001970	0.998030	
Q74R28	OTHER	0.001384	0.998616	
Q74R94	OTHER	0.002353	0.997647	
Q74RF8	OTHER	0.001464	0.998536	
Q74RQ9	OTHER	0.002562	0.997438	
Q74SF4	OTHER	0.000393	0.999607	
Q74SQ6	SP(Sec/SPI)	0.559456	0.440544	CS pos: 21-22. ALA-LW. Pr: 0.1756
Q74TF8	SP(Sec/SPI)	0.517970	0.482030	CS pos: 17-18. CIG-QL. Pr: 0.1551
Q74X11	OTHER	0.003094	0.996906	
Q74XX5	OTHER	0.000951	0.999049	
Q74Y45	OTHER	0.003572	0.996428	
Q74Y93	OTHER	0.000459	0.999541	
Q7CFM8	OTHER	0.002120	0.997880	
Q7CFR2	OTHER	0.001297	0.998703	
Q7CG00	OTHER	0.000785	0.999215	
Q7CG46	OTHER	0.000522	0.999478	
Q7CG56	OTHER	0.001129	0.998871	
Q7CG87	SP(Sec/SPI)	0.997926	0.002074	CS pos: 20-21. AFA-AP. Pr: 0.9587
Q7CGB6	OTHER	0.001090	0.998910	
Q7CGD9	OTHER	0.019388	0.980612	
Q7CGS4	OTHER	0.000734	0.999266	
Q7CH07	OTHER	0.052979	0.947021	
Q7CH25	OTHER	0.000898	0.999102	
Q7CH65	OTHER	0.014068	0.985932	
Q7CH66	OTHER	0.002593	0.997407	
Q7CH75	OTHER	0.002504	0.997496	
Q7CHF8	OTHER	0.001249	0.998751	
Q7CHI2	OTHER	0.001069	0.998931	
Q7CHK7	OTHER	0.001230	0.998770	
Q7CHQ3	OTHER	0.000874	0.999126	
Q7CHU1	OTHER	0.002236	0.997764	
Q7CHW4	OTHER	0.007079	0.992921	
Q7CI09	OTHER	0.162180	0.837820	
Q7CI10	SP(Sec/SPI)	0.965933	0.034067	CS pos: 35-36. TYA-EQ. Pr: 0.9101
Q7CIA2	OTHER	0.031405	0.968595	
Q7CIB7	OTHER	0.002224	0.997776	
Q7CIC2	OTHER	0.001202	0.998798	
Q7CIC6	OTHER	0.250393	0.749607	
Q7CIP8	OTHER	0.000680	0.999320	
Q7CIR8	OTHER	0.021949	0.978051	
Q7CIS2	OTHER	0.000991	0.999009	
Q7CIT9	OTHER	0.001080	0.998920	
Q7CIX9	OTHER	0.000833	0.999167	
Q7CIZ3	OTHER	0.003753	0.996247	
Q7CJ65	OTHER	0.000269	0.999731	
Q7CJ76	OTHER	0.009185	0.990815	
Q7CJ84	OTHER	0.001071	0.998929	
Q7CJ87	OTHER	0.014383	0.985617	
Q7CJ89	OTHER	0.017445	0.982555	
Q7CJ92	OTHER	0.000873	0.999127	
Q7CJ93	OTHER	0.001978	0.998022	
Q7CJ96	OTHER	0.024167	0.975833	
Q7CJF3	OTHER	0.000521	0.999479	
Q7CJG3	OTHER	0.001021	0.998979	
Q7CJI9	OTHER	0.002205	0.997795	
Q7CJL3	OTHER	0.001157	0.998843	
Q7CJM7	OTHER	0.001083	0.998917	
Q7CJN8	OTHER	0.001069	0.998931	
Q7CJV2	SP(Sec/SPI)	0.968934	0.031066	CS pos: 20-21. AGC-GF. Pr: 0.3035
Q7CJY7	OTHER	0.000460	0.999540	
Q7CKC7	OTHER	0.000394	0.999606	
Q7CKD4	OTHER	0.003423	0.996577	
Q7CKG8	OTHER	0.003429	0.996571	
Q7CKJ6	OTHER	0.003792	0.996208	
Q7CKM4	OTHER	0.000686	0.999314	
Q7CLE5	OTHER	0.006771	0.993229	
Q8D091	SP(Sec/SPI)	0.947909	0.052091	CS pos: 25-26. ALA-DT. Pr: 0.9152
Q8D0D7	OTHER	0.000902	0.999098	
Q8D0D8	OTHER	0.001213	0.998787	
Q8D0U3	OTHER	0.001977	0.998023	
Q8D0W8	OTHER	0.000553	0.999447	
Q8D124	OTHER	0.428794	0.571206	
Q8D1G8	OTHER	0.005028	0.994972	
Q8D1H3	OTHER	0.000621	0.999379	
Q8D1I3	OTHER	0.000510	0.999490	
Q8D1K0	OTHER	0.000626	0.999374	
Q8D1Q8	OTHER	0.001928	0.998072	
Q8Z9S4	OTHER	0.000816	0.999184	
Q8Z9S8	OTHER	0.001489	0.998511	
Q8Z9T1	OTHER	0.000470	0.999530	
Q8Z9U2	OTHER	0.001532	0.998468	
Q8Z9U3	SP(Sec/SPI)	0.834154	0.165846	CS pos: 24-25. AWQ-VD. Pr: 0.5370
Q8Z9U7	OTHER	0.003906	0.996094	
Q8Z9Y1	OTHER	0.000564	0.999436	
Q8ZA09	OTHER	0.000838	0.999162	
Q8ZA10	OTHER	0.002904	0.997096	
Q8ZA34	OTHER	0.120707	0.879293	
Q8ZA75	OTHER	0.000717	0.999283	
Q8ZA77	OTHER	0.001492	0.998508	
Q8ZA78	OTHER	0.085819	0.914181	
Q8ZA84	OTHER	0.002252	0.997748	
Q8ZA85	OTHER	0.054348	0.945652	
Q8ZA86	OTHER	0.025386	0.974614	
Q8ZA87	OTHER	0.002569	0.997431	
Q8ZA97	OTHER	0.002754	0.997246	
Q8ZAA0	OTHER	0.000669	0.999331	
Q8ZAA1	SP(Sec/SPI)	0.963803	0.036197	CS pos: 23-24. AQG-NN. Pr: 0.5444
Q8ZAA2	OTHER	0.000846	0.999154	
Q8ZAC2	OTHER	0.000399	0.999601	
Q8ZAD8	OTHER	0.001705	0.998295	
Q8ZAE3	OTHER	0.003130	0.996870	
Q8ZAE4	OTHER	0.035512	0.964488	
Q8ZAF0	OTHER	0.001152	0.998848	
Q8ZAG5	OTHER	0.000190	0.999810	
Q8ZAH6	OTHER	0.053001	0.946999	
Q8ZAI0	OTHER	0.000356	0.999644	
Q8ZAL3	OTHER	0.000868	0.999132	
Q8ZAM1	OTHER	0.012864	0.987136	
Q8ZAM9	OTHER	0.000663	0.999337	
Q8ZAN4	OTHER	0.004932	0.995068	
Q8ZAN8	OTHER	0.000720	0.999280	
Q8ZAP9	OTHER	0.001148	0.998852	
Q8ZAQ1	OTHER	0.002398	0.997602	
Q8ZAQ2	OTHER	0.001017	0.998983	
Q8ZAQ7	OTHER	0.000645	0.999355	
Q8ZAQ8	OTHER	0.001684	0.998316	
Q8ZAR2	OTHER	0.003898	0.996102	
Q8ZAR3	OTHER	0.001417	0.998583	
Q8ZAR4	OTHER	0.000401	0.999599	
Q8ZAR7	OTHER	0.001211	0.998789	
Q8ZAS2	OTHER	0.000815	0.999185	
Q8ZAS8	OTHER	0.001032	0.998968	
Q8ZAS9	SP(Sec/SPI)	0.990788	0.009212	CS pos: 24-25. AMA-VD. Pr: 0.7110
Q8ZAW9	OTHER	0.001850	0.998150	
Q8ZAX0	OTHER	0.063050	0.936950	
Q8ZAX1	OTHER	0.000809	0.999191	
Q8ZAX7	OTHER	0.053677	0.946323	
Q8ZB39	OTHER	0.000225	0.999775	
Q8ZB47	OTHER	0.000763	0.999237	
Q8ZB56	OTHER	0.041233	0.958767	
Q8ZB72	OTHER	0.003115	0.996885	
Q8ZB98	OTHER	0.001459	0.998541	
Q8ZBB5	OTHER	0.000933	0.999067	
Q8ZBB8	OTHER	0.001099	0.998901	
Q8ZBC2	OTHER	0.001029	0.998971	
Q8ZBC4	OTHER	0.001601	0.998399	
Q8ZBH1	OTHER	0.001041	0.998959	
Q8ZBH3	OTHER	0.001273	0.998727	
Q8ZBI0	OTHER	0.007695	0.992305	
Q8ZBI2	OTHER	0.000967	0.999033	
Q8ZBJ7	OTHER	0.007948	0.992052	
Q8ZBJ8	OTHER	0.000676	0.999324	
Q8ZBK0	SP(Sec/SPI)	0.842929	0.157071	CS pos: 28-29. ALA-AD. Pr: 0.6912
Q8ZBK6	OTHER	0.001506	0.998494	
Q8ZBK7	OTHER	0.001588	0.998412	
Q8ZBK8	OTHER	0.001913	0.998087	
Q8ZBL9	OTHER	0.001575	0.998425	
Q8ZBM0	OTHER	0.001270	0.998730	
Q8ZBM3	SP(Sec/SPI)	0.986955	0.013045	CS pos: 27-28. AQA-AE. Pr: 0.9182
Q8ZBN2	OTHER	0.001008	0.998992	
Q8ZBN7	OTHER	0.001043	0.998957	
Q8ZBP1	OTHER	0.000524	0.999476	
Q8ZBP2	OTHER	0.001703	0.998297	
Q8ZBP3	OTHER	0.000803	0.999197	
Q8ZBP7	OTHER	0.002254	0.997746	
Q8ZBP8	OTHER	0.000801	0.999199	
Q8ZBP9	OTHER	0.001611	0.998389	
Q8ZBQ0	OTHER	0.001357	0.998643	
Q8ZBT8	OTHER	0.000731	0.999269	
Q8ZBU3	OTHER	0.000926	0.999074	
Q8ZBU9	OTHER	0.052626	0.947374	
Q8ZBV7	OTHER	0.000829	0.999171	
Q8ZBY6	OTHER	0.003293	0.996707	
Q8ZBY7	OTHER	0.001097	0.998903	
Q8ZBZ1	OTHER	0.001585	0.998415	
Q8ZBZ2	OTHER	0.091773	0.908227	
Q8ZBZ5	OTHER	0.085716	0.914284	
Q8ZC08	OTHER	0.001165	0.998835	
Q8ZC15	OTHER	0.003309	0.996691	
Q8ZC33	OTHER	0.001425	0.998575	
Q8ZC41	OTHER	0.001373	0.998627	
Q8ZC45	OTHER	0.001250	0.998750	
Q8ZC51	OTHER	0.416462	0.583538	
Q8ZC64	OTHER	0.001156	0.998844	
Q8ZC65	OTHER	0.001196	0.998804	
Q8ZC66	OTHER	0.001547	0.998453	
Q8ZC72	OTHER	0.004001	0.995999	
Q8ZC94	OTHER	0.000790	0.999210	
Q8ZC98	OTHER	0.002065	0.997935	
Q8ZCA8	OTHER	0.001184	0.998816	
Q8ZCB8	OTHER	0.001638	0.998362	
Q8ZCC0	OTHER	0.001464	0.998536	
Q8ZCC3	SP(Sec/SPI)	0.874301	0.125699	CS pos: 19-20. AGA-ET. Pr: 0.3391
Q8ZCD0	OTHER	0.004481	0.995519	
Q8ZCF9	OTHER	0.040831	0.959169	
Q8ZCG9	OTHER	0.003484	0.996516	
Q8ZCK0	OTHER	0.003407	0.996593	
Q8ZCM2	OTHER	0.000519	0.999481	
Q8ZCP4	OTHER	0.001311	0.998689	
Q8ZCQ2	OTHER	0.002259	0.997741	
Q8ZCR1	OTHER	0.000981	0.999019	
Q8ZCS5	OTHER	0.001425	0.998575	
Q8ZCT2	OTHER	0.000667	0.999333	
Q8ZCU4	OTHER	0.001069	0.998931	
Q8ZCX2	OTHER	0.000490	0.999510	
Q8ZCX5	OTHER	0.002069	0.997931	
Q8ZCX8	OTHER	0.001692	0.998308	
Q8ZCX9	OTHER	0.000642	0.999358	
Q8ZD27	OTHER	0.002293	0.997707	
